companyName;destination;transportType;weightKg;distanceKm;price;deliveryDays;fuelLiters;date
NorthWind;Warsaw;Truck;7364;366.3;6510.35;2;89.0;15.08.2021
RailCargo;Berlin;Truck;16609;301.4;5991.93;3;107.4;15.09.2019
BlueLogistics;Ljubljana;Train;1351;2061.7;9044.14;6;1999.4;31.05.2017
TransMax;Paris;Truck;11813;486.9;5012.14;4;169.5;05.01.2021
FastMove;Copenhagen;Truck;20649;387.2;7271.42;3;164.1;07.07.2015
NorthWind;Amsterdam;Ship;127049;7893.6;46025.67;24;51712.9;28.10.2016
GlobalFreight;Milan;Truck;22448;357.0;6767.09;3;137.3;31.10.2016
ShipLine;Copenhagen;Truck;22599;1114.2;11011.36;4;444.1;27.07.2017
MoveIt;Berlin;Ship;39701;3688.4;27998.97;11;33396.5;08.05.2022
ShipLine;Copenhagen;Ship;79905;5428.5;32951.32;14;28656.0;22.07.2021
RailCargo;Copenhagen;Truck;4582;1196.9;4243.12;4;277.2;14.01.2022
EuroTrans;Brussels;Train;78604;1085.0;13714.64;6;2081.7;17.02.2015
NorthWind;Warsaw;Train;35473;1435.0;8197.59;5;2017.9;14.01.2015
QuickCargo;Bratislava;Plane;8337;4690.8;78051.97;4;57252.3;30.10.2021
BlueLogistics;Budapest;Truck;17428;235.8;3728.6;3;86.3;26.01.2019
CargoBridge;Zurich;Truck;18641;327.0;3262.78;4;90.8;13.07.2023
SkyCargo;Budapest;Truck;18065;596.6;13546.24;2;211.9;01.06.2025
SkyCargo;Hamburg;Train;49444;1117.7;8371.03;4;1887.1;16.10.2018
CargoOne;Dresden;Truck;2376;303.2;1587.17;3;66.3;15.09.2018
FastMove;Frankfurt;Truck;7070;819.3;8538.81;3;289.8;22.09.2017
TransMax;Zagreb;Ship;55819;2171.0;12980.26;13;12339.9;10.08.2015
NorthWind;Warsaw;Truck;3630;887.4;6305.03;3;218.6;14.02.2018
ShipLine;Amsterdam;Ship;293528;1342.8;14297.52;6;13224.1;18.01.2016
CargoBridge;Amsterdam;Truck;7054;608.5;2792.37;4;234.9;19.05.2019
HeavyLift;Ljubljana;Truck;23987;851.1;5890.87;5;323.4;30.04.2018
BlueLogistics;Berlin;Train;41604;1447.0;20487.42;3;2454.4;06.10.2016
CargoOne;Frankfurt;Truck;19548;263.7;19958.4;1;110.8;22.05.2021
BlueLogistics;Berlin;Train;77003;1164.2;14715.51;4;1972.0;10.07.2018
BlueLogistics;Bratislava;Truck;9880;822.4;8462.45;3;329.1;19.12.2021
RoadRunner;Warsaw;Truck;8740;295.1;7687.63;1;86.2;13.03.2018
EuroTrans;Ljubljana;Ship;282317;5865.5;34818.28;13;62912.1;12.07.2025
CargoBridge;Budapest;Truck;18178;1073.2;8434.64;3;334.1;16.09.2022
