id,nazev,mesto,zalozeni,majitel,specializace
1,Dílna Zlatého Draka,Praha,1347,Barnabáš Říha,Bojové hůlky
2,Stříbrná věž,Brno,1502,Celestýna Horáková,Léčitelské hůlky
3,Dílna Moudrého sovy,Olomouc,1289,Radovan Blažek,Věštecké hůlky
4,Temný křišťál,Plzeň,1634,Isolda Krejčová,Prokleté hůlky
5,Světluška,České Budějovice,1711,Miroslav Dvořák,Světelné hůlky
6,Dílna Šedého vlka,Liberec,1823,Věnceslava Procházková,Bojové hůlky
7,Měsíční pramen,Hradec Králové,1456,Tobiáš Novák,Iluzní hůlky
8,Dílna Zelené hvězdy,Ostrava,1578,Amálie Šimková,Přírodní hůlky
9,Ohnivá kovárna,Jihlava,1392,Ctibor Mašek,Ohnivé hůlky
10,Dílna Tichého proudu,Zlín,1867,Eliška Čermáková,Vodní hůlky
11,Zlatá třísčka,Pardubice,1743,Oldřich Kratochvíl,Léčitelské hůlky
12,Dílna Černého kamene,Karlovy Vary,1521,Rozálie Forejtová,Prokleté hůlky
13,Větrná věž,Mladá Boleslav,1680,Stanislav Horník,Větrné hůlky
14,Dílna Bílého orla,Kladno,1445,Kateřina Pokorná,Ochranné hůlky
15,Podzemní výheň,Teplice,1599,Bohumil Urban,Ohnivé hůlky
16,Dílna Ranní rosy,Znojmo,1772,Adéla Vlčková,Přírodní hůlky
17,Hvězdný trůn,Chomutov,1838,Přemysl Beneš,Věštecké hůlky
18,Dílna Purpurového blesku,Přerov,1463,Magdalena Štefanová,Bouřkové hůlky
19,Křišťálový zpěv,Opava,1715,Jindřich Kříž,Iluzní hůlky
20,Dílna Věčného ohně,Most,1547,Barbora Navrátilová,Bojové hůlky
