hulka_id,dilna_id,datum_vyroby,drevo,jadro,delka_cm,ohebnost,cena_zlate,prodana
1,1,1402-06-12,Dub,Dračí struna,32,Tvrdá,450,ano
2,1,1415-03-28,Tis,Fénixovo pero,29,Pružná,620,ano
3,1,1389-11-05,Buk,Vlčí chlup,35,Poddajná,310,ne
4,1,1467-08-19,Habr,Jednorožčí vlas,28,Tvrdá,890,ano
5,1,1498-01-30,Vrba,Dračí struna,31,Velmi pružná,540,ne
6,2,1523-07-14,Lípa,Fénixovo pero,27,Poddajná,710,ano
7,2,1556-02-22,Jasan,Mořská perlička,33,Pružná,380,ano
8,2,1589-10-08,Třešeň,Jednorožčí vlas,26,Tvrdá,950,ne
9,2,1601-04-17,Olše,Vlčí chlup,30,Velmi pružná,290,ano
10,2,1634-12-03,Dub,Fénixovo pero,34,Pružná,660,ano
11,3,1312-09-25,Tis,Dračí struna,38,Tvrdá,720,ne
12,3,1345-05-11,Habr,Měsíční krystal,25,Poddajná,1100,ano
13,3,1378-03-19,Vrba,Fénixovo pero,31,Pružná,580,ano
14,3,1401-11-07,Buk,Jednorožčí vlas,29,Tvrdá,840,ano
15,3,1423-06-30,Jasan,Dračí struna,36,Velmi pružná,490,ne
16,4,1658-02-14,Tis,Temný krystal,33,Tvrdá,1350,ano
17,4,1672-08-03,Habr,Vlčí chlup,30,Poddajná,420,ne
18,4,1689-12-21,Dub,Temný krystal,35,Pružná,1200,ano
19,4,1701-04-09,Vrba,Dračí struna,28,Tvrdá,780,ano
20,4,1723-10-16,Olše,Temný krystal,32,Velmi pružná,1500,ne
21,5,1735-03-05,Lípa,Sluneční krystal,27,Poddajná,670,ano
22,5,1748-07-18,Třešeň,Fénixovo pero,31,Pružná,720,ano
23,5,1761-01-22,Jasan,Sluneční krystal,29,Tvrdá,810,ne
24,5,1774-09-14,Buk,Jednorožčí vlas,33,Pružná,560,ano
25,5,1789-05-27,Dub,Sluneční krystal,30,Velmi pružná,890,ano
26,6,1840-11-03,Habr,Dračí struna,34,Tvrdá,510,ne
27,6,1852-04-15,Vrba,Vlčí chlup,28,Poddajná,340,ano
28,6,1863-08-29,Tis,Fénixovo pero,36,Pružná,680,ano
29,6,1875-02-11,Jasan,Dračí struna,31,Tvrdá,590,ne
30,6,1889-06-07,Buk,Jednorožčí vlas,27,Velmi pružná,870,ano
31,7,1478-09-20,Lípa,Měsíční krystal,30,Poddajná,960,ano
32,7,1492-01-14,Třešeň,Fénixovo pero,33,Pružná,640,ne
33,7,1505-07-03,Dub,Měsíční krystal,26,Tvrdá,1050,ano
34,7,1518-11-28,Olše,Dračí struna,35,Pružná,480,ano
35,7,1531-04-09,Habr,Měsíční krystal,29,Velmi pružná,1120,ne
36,8,1595-06-17,Buk,Bylinný kořen,32,Poddajná,390,ano
37,8,1612-02-24,Vrba,Fénixovo pero,28,Pružná,610,ano
