sceneId,movieId,title,durationMinutes
1,1,Reunion shadow,2
2,1,Night warning,5
3,1,Final voice,8
4,1,Train door,3
5,1,Signal shadow,2
6,1,Tower warning,2
7,1,Chase voice,2
8,1,Escape door,7
9,1,Farewell shadow,7
10,1,Morning warning,6
11,1,Storm voice,3
12,1,Bridge door,3
13,1,Opening shadow,7
14,1,Decision warning,6
15,1,Discovery voice,7
16,1,Secret door,8
17,1,Market shadow,6
18,1,Letter warning,3
19,2,Escape search,6
20,2,Farewell dream,3
21,2,Morning truth,4
22,2,Storm argument,3
23,2,Bridge search,8
24,2,Opening dream,8
25,2,Decision truth,4
26,2,Discovery argument,5
27,2,Secret search,5
28,2,Market dream,8
29,2,Letter truth,8
30,2,Garden argument,5
31,2,Arrival search,2
32,2,Reunion dream,5
33,2,Night truth,3
34,2,Final argument,2
35,2,Train search,3
36,2,Signal dream,8
37,2,Tower truth,2
38,2,Chase argument,3
39,2,Escape search,6
40,2,Farewell dream,2
41,3,Discovery crossing,7
42,3,Secret race,8
43,3,Market call,2
44,3,Letter meeting,6
45,3,Garden crossing,8
46,3,Arrival race,2
47,3,Reunion call,8
48,3,Night meeting,4
49,3,Final crossing,2
50,3,Train race,8
51,3,Signal call,6
52,3,Tower meeting,2
53,3,Chase crossing,4
54,3,Escape race,5
55,3,Farewell call,6
56,3,Morning meeting,4
57,3,Storm crossing,4
58,3,Bridge race,2
59,3,Opening call,8
60,4,Night visit,8
61,4,Final key,2
62,4,Train memory,2
63,4,Signal promise,4
64,4,Tower visit,8
65,4,Chase key,5
66,4,Escape memory,2
67,4,Farewell promise,8
68,4,Morning visit,5
69,4,Storm key,5
70,4,Bridge memory,2
71,4,Opening promise,4
72,4,Decision visit,3
73,4,Discovery key,2
74,4,Secret memory,7
75,4,Market promise,7
76,4,Letter visit,5
77,4,Garden key,3
78,4,Arrival memory,5
79,4,Reunion promise,7
80,4,Night visit,7
81,4,Final key,2
82,4,Train memory,8
83,4,Signal promise,5
84,4,Tower visit,2
85,4,Chase key,8
86,4,Escape memory,5
87,5,Farewell map,6
88,5,Morning plan,7
89,5,Storm choice,8
90,5,Bridge return,6
91,5,Opening map,7
92,5,Decision plan,3
93,5,Discovery choice,3
94,5,Secret return,3
95,5,Market map,8
96,5,Letter plan,4
97,5,Garden choice,7
98,5,Arrival return,3
99,5,Reunion map,5
100,5,Night plan,7
101,5,Final choice,7
102,5,Train return,4
103,5,Signal map,6
104,5,Tower plan,7
105,5,Chase choice,3
106,5,Escape return,5
107,5,Farewell map,5
108,5,Morning plan,3
109,5,Storm choice,5
110,5,Bridge return,4
111,6,Secret voice,4
112,6,Market door,7
113,6,Letter shadow,4
114,6,Garden warning,6
115,6,Arrival voice,8
116,6,Reunion door,3
117,6,Night shadow,2
118,6,Final warning,3
119,6,Train voice,4
120,6,Signal door,7
121,6,Tower shadow,7
122,6,Chase warning,7
123,6,Escape voice,7
124,6,Farewell door,2
125,6,Morning shadow,6
126,6,Storm warning,7
127,6,Bridge voice,7
128,6,Opening door,8
129,6,Decision shadow,2
130,6,Discovery warning,4
131,6,Secret voice,4
132,6,Market door,7
133,6,Letter shadow,8
134,6,Garden warning,7
135,6,Arrival voice,4
136,6,Reunion door,6
137,7,Final truth,5
138,7,Train argument,2
139,7,Signal search,5
140,7,Tower dream,3
141,7,Chase truth,3
142,7,Escape argument,5
143,7,Farewell search,4
144,7,Morning dream,4
145,7,Storm truth,3
146,7,Bridge argument,3
147,7,Opening search,2
148,7,Decision dream,7
149,7,Discovery truth,3
150,7,Secret argument,5
151,7,Market search,4
152,7,Letter dream,7
153,8,Morning call,5
154,8,Storm meeting,7
155,8,Bridge crossing,7
156,8,Opening race,3
157,8,Decision call,2
158,8,Discovery meeting,8
159,8,Secret crossing,3
160,8,Market race,2
161,8,Letter call,7
162,8,Garden meeting,5
163,8,Arrival crossing,5
164,8,Reunion race,7
165,8,Night call,6
166,8,Final meeting,2
167,8,Train crossing,10
168,8,Signal race,5
169,8,Tower call,5
170,8,Chase meeting,2
171,8,Escape crossing,8
172,8,Farewell race,7
173,9,Market memory,6
174,9,Letter promise,3
175,9,Garden visit,4
176,9,Arrival key,5
177,9,Reunion memory,5
178,9,Night promise,8
179,9,Final visit,4
180,9,Train key,5
181,9,Signal memory,2
182,9,Tower promise,3
183,9,Chase visit,8
184,9,Escape key,6
185,9,Farewell memory,4
186,9,Morning promise,11
187,9,Storm visit,5
188,9,Bridge key,5
189,9,Opening memory,6
190,10,Train choice,2
191,10,Signal return,2
192,10,Tower map,2
193,10,Chase plan,2
194,10,Escape choice,5
195,10,Farewell return,6
196,10,Morning map,7
197,10,Storm plan,4
198,10,Bridge choice,2
199,10,Opening return,6
200,10,Decision map,8
201,10,Discovery plan,6
202,10,Secret choice,5
203,10,Market return,4
204,10,Letter map,2
205,10,Garden plan,6
206,10,Arrival choice,8
207,10,Reunion return,6
208,10,Night map,2
209,11,Storm shadow,3
210,11,Bridge warning,2
211,11,Opening voice,3
212,11,Decision door,5
213,11,Discovery shadow,2
214,11,Secret warning,4
215,11,Market voice,8
216,11,Letter door,8
217,11,Garden shadow,3
218,11,Arrival warning,5
219,11,Reunion voice,3
220,11,Night door,8
221,11,Final shadow,5
222,11,Train warning,8
223,11,Signal voice,4
224,11,Tower door,4
225,11,Chase shadow,2
226,11,Escape warning,3
227,11,Farewell voice,4
228,11,Morning door,7
229,12,Letter search,5
230,12,Garden dream,5
231,12,Arrival truth,4
232,12,Reunion argument,6
233,12,Night search,7
234,12,Final dream,7
235,12,Train truth,8
236,12,Signal argument,5
237,12,Tower search,6
238,12,Chase dream,6
239,12,Escape truth,9
240,12,Farewell argument,8
241,12,Morning search,4
242,12,Storm dream,7
243,12,Bridge truth,6
244,12,Opening argument,8
245,12,Decision search,4
246,12,Discovery dream,8
247,12,Secret truth,3
248,12,Market argument,5
249,12,Letter search,7
250,12,Garden dream,8
251,12,Arrival truth,8
252,12,Reunion argument,7
253,12,Night search,5
254,12,Final dream,3
255,13,Signal crossing,7
256,13,Tower race,4
257,13,Chase call,8
258,13,Escape meeting,7
259,13,Farewell crossing,7
260,13,Morning race,7
261,13,Storm call,6
262,13,Bridge meeting,6
263,13,Opening crossing,7
264,13,Decision race,5
265,13,Discovery call,3
266,13,Secret meeting,6
267,13,Market crossing,2
268,13,Letter race,2
269,13,Garden call,4
270,13,Arrival meeting,3
271,13,Reunion crossing,7
272,13,Night race,4
273,13,Final call,4
274,13,Train meeting,2
275,13,Signal crossing,2
276,13,Tower race,2
277,13,Chase call,7
278,13,Escape meeting,7
279,14,Bridge visit,7
280,14,Opening key,7
281,14,Decision memory,2
