Track{name='Skills in Pills', year=2015, rate=8.56, time=13:27}
Track{name='The Devil in I', year=2014, rate=5.96, time=12:20}
Track{name='Freak On a Leash', year=1998, rate=9.89, time=10:12}
Track{name='You Spin Me Round (Like A Record)', year=1999, rate=5.01, time=9:48}
Track{name='Ambiramus', year=2019, rate=4.9, time=2:20}
Track{name='Empty Walls', year=2007, rate=7.27, time=11:1}
Track{name='Kumba Yo !', year=2006, rate=6.01, time=7:38}
Track{name='Plastic Heart', year=2017, rate=8.39, time=3:46}
Track{name='The Eagle Flies Alone - edit', year=2017, rate=4.72, time=11:46}
Track{name='333', year=2019, rate=7.93, time=5:29}
Track{name='AUSLANDER', year=2019, rate=8.54, time=15:15}
Track{name='Cyanide', year=2010, rate=9.93, time=2:24}
Track{name='Turn It Up', year=2010, rate=7.3, time=12:7}
Track{name='Rainbow', year=2014, rate=6.53, time=2:8}
Track{name='This Is Why We Bleed', year=2016, rate=7.34, time=7:19}
Track{name='Living In A Lie - Unplugged Version', year=2000, rate=5.92, time=7:24}
Track{name='Beginning of the End', year=2003, rate=9.31, time=3:35}
Track{name='A Rose for Epona', year=2012, rate=6.34, time=2:16}
Track{name='Free', year=2003, rate=9.25, time=7:35}
Track{name='The Beautiful people', year=2004, rate=6.85, time=12:16}
Track{name='Sex Metal Barbie', year=2014, rate=7.84, time=10:27}
Track{name='You and Not Me', year=2013, rate=5.38, time=10:33}
Track{name='I am Shipping Up To Boston', year=2012, rate=5.1, time=3:50}
Track{name='Cowboy', year=2015, rate=5.55, time=13:42}
Track{name='Hail to the King', year=2013, rate=9.34, time=12:3}
Track{name='L.U.I. - Life Under the Influence', year=2014, rate=4.87, time=8:34}
Track{name='Interdimensional Summit', year=2018, rate=7.6, time=14:52}
Track{name='When Legends Rise', year=2018, rate=5.5, time=3:57}
Track{name='Is There Anybody out There?', year=2016, rate=9.48, time=8:47}
Track{name='Wake Up', year=2018, rate=9.79, time=12:57}
Track{name='Fish On', year=2015, rate=4.99, time=2:43}
Track{name='Set Flame to the Night', year=2017, rate=6.99, time=11:45}
Track{name='Soldier Side', year=2005, rate=4.73, time=11:41}
Track{name='Dragula', year=1998, rate=8.39, time=6:43}
Track{name='Poker Face', year=2011, rate=7.29, time=7:24}
Track{name='Boomerang', year=2017, rate=9.73, time=9:10}
Track{name='The War We Made', year=2020, rate=9.05, time=13:42}
Track{name='The Call of the Mountains', year=2014, rate=6.11, time=3:47}
Track{name='DEUTSCHLAND', year=2019, rate=5.32, time=3:33}
Track{name='Your Betrayal', year=2010, rate=9.52, time=12:27}
Track{name='Black Flag Army', year=2019, rate=6.98, time=4:35}
Track{name='Golden Shower', year=2015, rate=9.89, time=15:13}
Track{name='For the Swarm', year=2016, rate=5.4, time=9:51}
Track{name='Augen auf!', year=2006, rate=6.25, time=13:43}
Track{name='Blow Me Away - Soundtrack Version', year=2004, rate=6.48, time=14:33}
Track{name='Mercury Gift', year=2012, rate=8.23, time=10:7}
Track{name='Riot', year=2006, rate=6.9, time=10:29}
Track{name='Loewenherz', year=2020, rate=9.05, time=11:41}
Track{name='Nazis auf Speed', year=2013, rate=4.52, time=14:34}
Track{name='Chemicals', year=2008, rate=5.03, time=7:9}
Track{name='Rock in the City', year=2020, rate=5.56, time=12:35}
Track{name='Take the Day!', year=2012, rate=9.2, time=11:51}
Track{name='Drink', year=2014, rate=9.48, time=12:27}
Track{name='Row Row Row', year=2020, rate=7.11, time=8:43}
